#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  31000      2.18e+00      2.91e-02      8.04e-02    7.3e-04
  31100      2.39e+00      5.43e-02      8.82e-02    7.3e-04
  31200      1.98e+00      2.74e-02      7.33e-02    7.3e-04
  31300      1.65e+00      5.23e-02      6.10e-02    7.3e-04
  31400      2.35e+00      6.14e-02      8.68e-02    7.3e-04
  31500      2.08e+00      3.94e-02      7.69e-02    7.3e-04
  31600      1.32e+00      4.12e-02      4.87e-02    7.3e-04
  31700      2.18e+00      2.59e-02      8.06e-02    7.3e-04
  31800      1.82e+00      4.67e-02      6.74e-02    7.3e-04
  31900      2.19e+00      5.54e-02      8.10e-02    7.3e-04
  32000      1.70e+00      2.48e-02      6.30e-02    7.3e-04
  32100      2.20e+00      4.33e-02      8.12e-02    7.3e-04
  32200      1.84e+00      3.32e-02      6.80e-02    7.3e-04
  32300      1.37e+00      2.04e-02      5.05e-02    7.3e-04
  32400      1.42e+00      4.19e-02      5.26e-02    7.3e-04
  32500      1.39e+00      2.32e-02      5.15e-02    7.3e-04
  32600      2.34e+00      5.72e-02      8.66e-02    7.3e-04
  32700      1.62e+00      4.90e-02      5.97e-02    7.3e-04
  32800      1.61e+00      4.53e-02      5.94e-02    7.3e-04
  32900      2.62e+00      7.32e-02      9.67e-02    7.3e-04
  33000      2.37e+00      5.57e-02      8.76e-02    7.3e-04
  33100      1.73e+00      2.06e-02      6.39e-02    7.3e-04
  33200      1.49e+00      5.21e-02      5.52e-02    7.3e-04
  33300      1.53e+00      3.97e-02      5.67e-02    7.3e-04
  33400      1.44e+00      3.87e-02      5.31e-02    7.3e-04
  33500      1.92e+00      3.65e-02      7.08e-02    7.3e-04
  33600      2.17e+00      2.94e-02      8.01e-02    7.3e-04
  33700      1.99e+00      2.89e-02      7.34e-02    7.3e-04
  33800      1.60e+00      1.39e-02      5.93e-02    7.3e-04
  33900      2.17e+00      3.91e-02      8.03e-02    7.3e-04
  34000      2.20e+00      2.97e-02      8.13e-02    7.3e-04
  34100      1.55e+00      3.94e-02      5.73e-02    7.3e-04
  34200      1.39e+00      3.91e-02      5.13e-02    7.3e-04
  34300      1.60e+00      3.55e-02      5.92e-02    7.3e-04
  34400      1.75e+00      2.95e-02      6.45e-02    7.3e-04
  34500      2.08e+00      4.09e-02      7.70e-02    7.3e-04
  34600      1.87e+00      3.95e-02      6.91e-02    7.3e-04
  34700      2.62e+00      6.50e-02      9.67e-02    7.3e-04
  34800      1.33e+00      3.28e-02      4.93e-02    7.3e-04
  34900      1.78e+00      2.55e-02      6.57e-02    7.3e-04
  35000      1.44e+00      2.20e-02      5.45e-02    6.9e-04
  35100      1.71e+00      3.70e-02      6.50e-02    6.9e-04
  35200      1.63e+00      3.12e-02      6.16e-02    6.9e-04
  35300      1.84e+00      2.90e-02      6.97e-02    6.9e-04
  35400      1.93e+00      4.51e-02      7.31e-02    6.9e-04
  35500      1.41e+00      3.88e-02      5.36e-02    6.9e-04
  35600      2.00e+00      4.61e-02      7.60e-02    6.9e-04
  35700      1.96e+00      4.37e-02      7.42e-02    6.9e-04
  35800      1.42e+00      2.80e-02      5.38e-02    6.9e-04
  35900      1.69e+00      3.97e-02      6.41e-02    6.9e-04
  36000      1.49e+00      3.33e-02      5.66e-02    6.9e-04
  36100      1.66e+00      2.56e-02      6.29e-02    6.9e-04
  36200      1.78e+00      3.49e-02      6.76e-02    6.9e-04
  36300      1.95e+00      2.47e-02      7.40e-02    6.9e-04
  36400      1.71e+00      5.72e-02      6.49e-02    6.9e-04
  36500      1.53e+00      3.74e-02      5.80e-02    6.9e-04
