#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  16700      1.56e+00      2.01e-02      5.32e-02    8.6e-04
  16800      1.67e+00      3.77e-02      5.70e-02    8.6e-04
  16900      1.51e+00      1.65e-02      5.17e-02    8.6e-04
  17000      2.16e+00      1.78e-02      7.37e-02    8.6e-04
  17100      2.15e+00      1.21e-02      7.35e-02    8.6e-04
  17200      1.86e+00      2.04e-02      6.36e-02    8.6e-04
  17300      1.59e+00      4.54e-02      5.45e-02    8.6e-04
  17400      1.50e+00      2.75e-02      5.13e-02    8.6e-04
  17500      2.07e+00      2.62e-02      7.08e-02    8.6e-04
  17600      1.68e+00      1.41e-02      5.75e-02    8.6e-04
  17700      2.12e+00      2.62e-02      7.26e-02    8.6e-04
  17800      1.49e+00      2.25e-02      5.08e-02    8.6e-04
  17900      2.57e+00      2.65e-02      8.77e-02    8.6e-04
  18000      2.18e+00      4.75e-02      7.44e-02    8.6e-04
  18100      1.64e+00      4.27e-02      5.62e-02    8.6e-04
  18200      2.05e+00      3.20e-02      7.00e-02    8.6e-04
  18300      2.05e+00      3.49e-02      7.00e-02    8.6e-04
  18400      1.92e+00      2.13e-02      6.56e-02    8.6e-04
  18500      2.45e+00      3.70e-02      8.38e-02    8.6e-04
  18600      1.73e+00      1.70e-02      5.92e-02    8.6e-04
  18700      1.39e+00      2.62e-02      4.75e-02    8.6e-04
  18800      1.63e+00      3.83e-02      5.57e-02    8.6e-04
  18900      1.49e+00      1.84e-02      5.08e-02    8.6e-04
  19000      1.83e+00      7.55e-02      6.25e-02    8.6e-04
  19100      1.73e+00      7.18e-03      5.93e-02    8.6e-04
  19200      1.69e+00      1.24e-02      5.76e-02    8.6e-04
  19300      2.17e+00      1.85e-02      7.42e-02    8.6e-04
  19400      1.27e+00      1.30e-02      4.33e-02    8.6e-04
  19500      1.63e+00      2.01e-02      5.59e-02    8.6e-04
  19600      1.60e+00      3.12e-02      5.45e-02    8.6e-04
  19700      2.04e+00      2.05e-02      6.98e-02    8.6e-04
  19800      2.11e+00      2.33e-02      7.21e-02    8.6e-04
  19900      1.55e+00      8.63e-03      5.28e-02    8.6e-04
  20000      1.50e+00      6.41e-03      5.27e-02    8.1e-04
  20100      2.37e+00      3.34e-02      8.32e-02    8.1e-04
  20200      1.55e+00      1.36e-02      5.45e-02    8.1e-04
  20300      1.93e+00      3.41e-02      6.76e-02    8.1e-04
  20400      2.14e+00      3.19e-02      7.52e-02    8.1e-04
  20500      1.20e+00      1.73e-02      4.21e-02    8.1e-04
  20600      2.04e+00      1.94e-02      7.17e-02    8.1e-04
  20700      1.42e+00      1.47e-02      4.97e-02    8.1e-04
  20800      1.13e+00      2.45e-02      3.95e-02    8.1e-04
  20900      1.27e+00      1.56e-02      4.47e-02    8.1e-04
  21000      1.65e+00      3.92e-02      5.77e-02    8.1e-04
  21100      1.19e+00      2.31e-02      4.18e-02    8.1e-04
  21200      1.59e+00      2.57e-02      5.59e-02    8.1e-04
  21300      1.54e+00      8.59e-03      5.41e-02    8.1e-04
  21400      1.54e+00      1.48e-02      5.39e-02    8.1e-04
  21500      2.26e+00      4.21e-02      7.94e-02    8.1e-04
  21600      1.60e+00      3.60e-02      5.63e-02    8.1e-04
  21700      2.11e+00      1.73e-02      7.40e-02    8.1e-04
  21800      1.68e+00      2.06e-02      5.88e-02    8.1e-04
  21900      1.70e+00      2.12e-02      5.96e-02    8.1e-04
  22000      1.65e+00      1.71e-02      5.80e-02    8.1e-04
  22100      1.71e+00      2.19e-02      6.00e-02    8.1e-04
  22200      2.19e+00      2.07e-02      7.68e-02    8.1e-04
  22300      1.78e+00      9.50e-03      6.26e-02    8.1e-04
  22400      2.17e+00      2.19e-02      7.63e-02    8.1e-04
  22500      2.05e+00      1.67e-02      7.18e-02    8.1e-04
  22600      2.12e+00      3.02e-02      7.44e-02    8.1e-04
  22700      1.48e+00      2.43e-02      5.21e-02    8.1e-04
  22800      1.39e+00      2.13e-02      4.88e-02    8.1e-04
  22900      1.90e+00      1.56e-02      6.68e-02    8.1e-04
  23000      1.73e+00      1.80e-02      6.08e-02    8.1e-04
  23100      1.78e+00      1.66e-02      6.24e-02    8.1e-04
  23200      1.49e+00      2.04e-02      5.22e-02    8.1e-04
  23300      1.68e+00      2.84e-02      5.89e-02    8.1e-04
  23400      1.70e+00      3.31e-02      5.98e-02    8.1e-04
  23500      1.43e+00      1.28e-02      5.03e-02    8.1e-04
  23600      1.63e+00      1.59e-02      5.71e-02    8.1e-04
  23700      2.52e+00      2.62e-02      8.83e-02    8.1e-04
  23800      1.68e+00      1.94e-02      5.91e-02    8.1e-04
  23900      1.30e+00      1.40e-02      4.56e-02    8.1e-04
  24000      2.10e+00      2.21e-02      7.37e-02    8.1e-04
  24100      1.50e+00      1.21e-02      5.25e-02    8.1e-04
  24200      1.63e+00      1.19e-02      5.71e-02    8.1e-04
  24300      2.38e+00      3.44e-02      8.35e-02    8.1e-04
  24400      1.87e+00      1.61e-02      6.57e-02    8.1e-04
  24500      1.74e+00      1.58e-02      6.10e-02    8.1e-04
  24600      1.49e+00      2.68e-02      5.22e-02    8.1e-04
  24700      1.49e+00      6.87e-03      5.23e-02    8.1e-04
  24800      1.84e+00      2.57e-02      6.44e-02    8.1e-04
  24900      2.52e+00      2.33e-02      8.84e-02    8.1e-04
  25000      1.91e+00      1.03e-02      6.88e-02    7.7e-04
  25100      2.04e+00      2.65e-02      7.35e-02    7.7e-04
  25200      1.43e+00      2.32e-02      5.14e-02    7.7e-04
  25300      1.84e+00      3.15e-02      6.61e-02    7.7e-04
  25400      2.24e+00      9.66e-03      8.08e-02    7.7e-04
  25500      1.35e+00      9.27e-03      4.85e-02    7.7e-04
  25600      1.71e+00      2.15e-02      6.16e-02    7.7e-04
  25700      2.18e+00      3.83e-02      7.84e-02    7.7e-04
  25800      1.86e+00      3.87e-02      6.68e-02    7.7e-04
  25900      1.26e+00      2.79e-02      4.54e-02    7.7e-04
  26000      1.47e+00      3.09e-02      5.28e-02    7.7e-04
  26100      1.71e+00      1.37e-02      6.14e-02    7.7e-04
  26200      1.55e+00      1.94e-02      5.59e-02    7.7e-04
  26300      1.17e+00      1.79e-02      4.22e-02    7.7e-04
  26400      1.30e+00      2.12e-02      4.67e-02    7.7e-04
